"stop_id","stop_lat","stop_lon"
"B02999P","-6.184383","106.90798"
"G00682","-6.212772","106.953229"
"G00683","-6.212716","106.953203"
"B00784P","-6.208678","106.76361"
"B05704P","-6.166565","106.79025"
"B05714P","-6.109001","106.77349"
"B03596P","-6.189435","106.83131"
"B06002P","-6.197689","106.8409"
"B03596P","-6.189435","106.83131"
"B06002P","-6.197689","106.8409"
